,,"Name (click to view profile)",Date,Likes,isHearted,isPinned,Comment,"Profile ID","Comment ID","Comment URL"
20,,@physicsdada001,"2023-06-15 06:12:13",0,no,no,"Bhaiya iska location bhejo do",UC796pIuDPPuhDNEEV6bVBQA,UgxbdFgR3DSLNdwgIq14AaABAg,https://www.youtube.com/watch?v=gf9-SSAPURA&lc=UgxbdFgR3DSLNdwgIq14AaABAg
21,,@navinkumersingh3037,"2023-06-16 03:07:26",4,no,no,"Sir 8th class me admission total fee Kitana hai",UCLe1a4EWsf0TY7eVR2SQzmg,Ugw_dKoYNccFa_4cfrx4AaABAg,https://www.youtube.com/watch?v=gf9-SSAPURA&lc=Ugw_dKoYNccFa_4cfrx4AaABAg
22,,@rohtasgarhfoundation9318,"2023-06-17 08:24:33",0,no,no,"Please send links and contact no.",UCAx9vkNwefC6bh747S3-2DQ,UgxH_qTfrqdfHaNs5EB4AaABAg,https://www.youtube.com/watch?v=gf9-SSAPURA&lc=UgxH_qTfrqdfHaNs5EB4AaABAg
23,,@ghanshyamyadav1984,"2023-06-18 18:42:50",0,no,no,"Fees and hostel ,mess total fees Kitna lagta hi",UCLg03LroxKqrcuvd9s9h3_w,UgxWbIHtQ0VKcFNrDrF4AaABAg,https://www.youtube.com/watch?v=gf9-SSAPURA&lc=UgxWbIHtQ0VKcFNrDrF4AaABAg
24,,@PramodKumar-uz6pz,"2023-06-20 05:58:28",0,no,no,"Sabhi campus ka video dalai...sir",UC7Q-ydFAKvO5AnJMPWENBSA,UgyyHrZ-kvSEvrMb_ZZ4AaABAg,https://www.youtube.com/watch?v=gf9-SSAPURA&lc=UgyyHrZ-kvSEvrMb_ZZ4AaABAg
25,,@veerkumar3172,"2023-06-22 09:56:55",2,no,no,"Sir 9 th class fee + hostel charges please tell me 🤔🤔",UCPj5fvQPRR4YtR1tjsPy-ig,UgwUBpoejJJIj0Vpm7R4AaABAg,https://www.youtube.com/watch?v=gf9-SSAPURA&lc=UgwUBpoejJJIj0Vpm7R4AaABAg
26,,@MonuNagar-gq5pg,"2023-06-28 06:37:37",1,no,no,"Sir study room me jab chaye jab padh sakte hai kya",UCNjqqN6X5xfIBVxEBgdtj0Q,UgwILXtORUtj3lzhH_V4AaABAg,https://www.youtube.com/watch?v=gf9-SSAPURA&lc=UgwILXtORUtj3lzhH_V4AaABAg
27,,@Marjanasandhu,"2023-06-29 15:30:59",0,no,no,"10+1 ,10+2 Since di class sutdy vi hai",UCqYOg3k2OgAAddZrNJUK4Mw,UgxUmLPC8MSEHYa3IdN4AaABAg,https://www.youtube.com/watch?v=gf9-SSAPURA&lc=UgxUmLPC8MSEHYa3IdN4AaABAg
28,,@rik_77,"2023-07-01 05:50:25",4,no,no,"Coaching mafia",UC_Se-PgbcwKmXBgSvF8xqgw,UgwxhDlliABoYW9d7vR4AaABAg,https://www.youtube.com/watch?v=gf9-SSAPURA&lc=UgwxhDlliABoYW9d7vR4AaABAg
29,,@manojpooniamp8929,"2023-07-03 19:59:06",5,no,no,"hamazado  class me 150 bache honge to kaisa development    kaisa sports   kaisi curriculum activities , .  I dont understand , where the government is sleeping , how can government allow such rascals to spoil childhood. There should be some  strict laws in place to handle such overcrowded  and butcher centers.",UCTMkyMCP_IPXy5IwXwXOEUA,Ugz3K5zOJ0IS0vRaqAJ4AaABAg,https://www.youtube.com/watch?v=gf9-SSAPURA&lc=Ugz3K5zOJ0IS0vRaqAJ4AaABAg
30,,@princhu_priya,"2023-07-04 16:58:27",6,no,no,"Sir please tell me hostel fees yearly",UC_xqe4X4iaFyTEDO5IYijEg,UgwLxwKb-8mFbUWeVRR4AaABAg,https://www.youtube.com/watch?v=gf9-SSAPURA&lc=UgwLxwKb-8mFbUWeVRR4AaABAg
31,,@VeerSingh-kj4iq,"2023-07-05 09:23:16",1,no,no,"Sir ji me apni beti ka admition kraunga plaec mujhe contect no de do",UCI_KPIOdGxpoKTYezc8riUA,UgyBs5pzquI-inVn3854AaABAg,https://www.youtube.com/watch?v=gf9-SSAPURA&lc=UgyBs5pzquI-inVn3854AaABAg
32,,@surjakantadas9215,"2023-07-09 12:08:42",0,no,no,"Sir please provide contact number",UCrdhHM1ZBfiYf825o6UMDeg,UgyjTM7mC7ogkwF85vt4AaABAg,https://www.youtube.com/watch?v=gf9-SSAPURA&lc=UgyjTM7mC7ogkwF85vt4AaABAg
33,,@uttarasingh6494,"2023-07-10 00:56:36",1,no,no,"Paise ek baar me luto phir koi dhyan nahi.
Bekoof mat banna",UC6dBawl2sR3E6HgUrABGHNQ,UgwRrZONWupHJ1mn1Ap4AaABAg,https://www.youtube.com/watch?v=gf9-SSAPURA&lc=UgwRrZONWupHJ1mn1Ap4AaABAg
34,,@uttarasingh6494,"2023-07-10 00:57:17",0,no,no,"Bad quality coaching in kalu sarai",UC6dBawl2sR3E6HgUrABGHNQ,UgyD3ZVCbjwYki8Gy2d4AaABAg,https://www.youtube.com/watch?v=gf9-SSAPURA&lc=UgyD3ZVCbjwYki8Gy2d4AaABAg
