"full_text","reply_count","favorited"
"भक्ति की सबसे बड़ी पाठशाला में आध्यात्म के रंग में रंगे लाखों विद्यार्थी। कॅरियर सिटी कोटा में हो रहे अनूठे आयोजन में देखने को मिल रहा विज्ञान और आध्यात्म का अनूठा संगम। देश के कोने-कोने से आए भावी डॉक्टर इंजीनियरों को मिला आध्यात्म से जुड़ने का मौका। 
#BhaktiKiPathshala https://t.co/c1qDtEAcGg","0","false"
"“One day, I hope we can play football together in the sky” - Pele’s message after Diego Maradona died in 2020. 
Enjoy your game, legends 🙏 #Pele https://t.co/jo60d45qLr","4","false"
"🎊 The Sanskar Mahotsav is a notable and momentous event that makes students from all over Kota enraptured as they experienced the devotional dimensions of spirituality at Kota.

#BhaktiKiPathshala #SanskarMahotsav
#ALLENKota https://t.co/OJ3w9L3zVa","1","false"
"Notice: This is to inform all students and parents that due to Heavy Rain and water logging in several areas of KOTA city, the morning shift classes today (22.08.2022) will be off. Students are advised not to leave their hostel/PG.

ALLEN","17","false"
"🎊 Millions of students are immersed in the colors of spirituality in the biggest Bhakti Ki Pathshala. 

✨ A unique confluence of science and spirituality is organized in Kota for future doctors and engineers.

#BhaktiKiPathshala #SanskarMahotsav
#ALLENKota https://t.co/scczlnMPLZ","0","false"
"Thank You @DrRPNishank for answering the question on #NEET2020 and #JEE2020 Exam Schedule. Students, so far there is no change in the exam Date. Stay Focused, You can do it 👍 https://t.co/wNFbCgnIMa","45","false"
"💐 सरल स्वभाव, विराट व्यक्तित्व, सहयोगी कृतित्व और सद् चरित्र के पर्याय वसुधैव कुटुम्बकम की सोच रखते हुए सदैव सहयोग के लिए तत्पर रहने वाले आदरणीय नवीन माहेश्वरी सर को जन्मदिन की कोटिः कोटिः मंगलकामनाएं...💐
- एलन परिवार
@Naveen_ALLEN https://t.co/gTSoV0qHWO","63","false"
"ALLEN's Official Letter to NTA seeking clarifications in relation to NEET (UG) 2024 Result (declared on 4th June 2024) https://t.co/mzpYn7wk7S","0","false"
"✌After #Perfect10 in #AIIMS2017 👉#ALLENRocksNEET
★6  in Top 10 AIR ★12 in Top 20 ★53 in Top 100 in #NEET overall Ranks ✌#Highest #NEET2017 https://t.co/26cKfF2szL","10","false"
"AIIMS MBBS 2017 rocked by @ALLENkota | Historical 10 ranks in Top 10 | clean sweep by ALLEN Career Institute |  #allenrocksaiims #allenkota https://t.co/9UQFvDrOOw","19","false"
